dcca,dcnt
A01,A
A02,A
A03,A
A04,A
A05,A
A06,A
A07,A
A08,A
A09,A
A10,A
A11,A
A12,A
A13,A
A14,A
A15,A
B01,B
B02,B
B03,B
B04,B
B05,B
B06,B
B07,B
B08,B
B09,B
B10,B
B11,B
B12,B
B13,B
C01,C
C02,C
C03,C
C04,C
C05,C
C06,C
C07,C
C08,C
C09,C
C10,C
C11,C
C12,C
C13,C
C14,C
C15,C
C16,C
C17,C
C18,C
C19,C
C20,C
C21,C
C22,C
C23,C
C24,C
C25,C
C26,C
C27,C
C28,C
C29,C
C30,C
C31,C
C32,C
C33,C
C34,C
C35,C
D01,D
D02,D
D03,D
D04,D
D05,D
D06,D
D07,D
D08,D
D09,D
D10,D
D11,D
D12,D
D13,D
D14,D
D15,D
D16,D
D17,D
E01,E
E02,E
E03,E
E04,E
E05,E
E06,E
E07,E
E08,E
E09,E
E10,E
E11,E
E12,E
E13,E
E14,E
E15,E
E16,E
E17,E
E18,E
E19,E
E20,E
F01,F
F02,F
F03,F
F04,F
F05,F
F06,F
F07,F
F08,F
F09,F
F10,F
F11,F
F12,F
F13,F
F14,7
F15,F
F16,F
F17,F
F18,F
F19,F
F20,F
F21,F
F22,F
F23,F
F24,F
F25,F
G01,G
G02,G
G03,G
G04,G
G05,G
G06,G
G07,G
G08,G
G09,G
G10,G
G11,G
G12,G
G13,G
G14,G
G15,G
G16,G
G17,G
G18,G
G19,G
G20,G
G21,G
G22,G
G23,G
G24,G
G25,G
H01,H
H02,H
H03,H
H04,H
H05,H
H06,H
H07,H
H08,H
H09,H
H10,H
H11,H
H12,H
H13,H
H14,H
H15,H
H16,H
H17,H
H18,H
H19,H
H20,H
H21,H
H22,H
H23,H
H24,H
H25,H
J01,J
J02,J
J03,J
J04,J
J05,J
J06,J
J07,J
J08,J
J09,J
J10,J
J11,J
J12,J
J13,J
J14,J
J15,J
J16,J
J17,J
J18,J
J19,J
J20,J
J21,J
J22,J
J23,J
J24,J
J25,J
J26,J
J27,J
J28,J
J29,J
J30,J
J31,J
J32,J
J33,J
J34,J
J35,J
J36,J
J37,J
J38,J
J39,J
J40,J
K01,6
K02,6
K03,6
K04,6
K05,6
K06,6
K07,6
K08,6
K09,6
K10,6
K11,6
K12,6
K13,6
K14,6
K15,6
K16,6
K17,6
K18,6
K19,6
L01,12
L02,12
L03,12
L04,12
L05,12
L06,12
L07,12
L08,12
L09,12
L10,12
L11,12
L12,12
L13,12
L14,12
L15,12
L16,12
L17,12
L18,12
L19,12
L20,12
L21,12
L22,12
L23,12
L24,12
L25,12
L26,12
L27,12
L28,12
L29,11
L30,12
L31,12
M01,9
M02,9
M03,9
M04,9
M05,9
M06,9
M07,9
M08,9
M09,9
M10,9
M11,M
M12,M
M13,9
M14,11
M15,11
M16,9
M17,10
M18,10
M19,10
M20,10
M21,10
M22,10
M23,10
M24,10
M25,10
M26,10
M27,10
M28,10
M29,10
M30,10
M31,10
M32,10
M33,10
M34,9
M35,M
M36,M
M37,M
M38,M
M39,M
N01,8
N02,8
N03,8
N04,8
N05,8
N06,8
N07,8
N08,8
N09,8
N10,8
N11,8
N12,8
N13,8
N14,8
N15,8
N16,N
N17,8
N18,8
P01,4
P02,4
P03,4
P04,4
P05,4
P06,4
P07,4
P08,4
P09,4
P10,4
P11,4
P12,4
P13,4
P14,4
P15,4
P16,4
P17,4
P18,4
P19,1
Q01,Q
Q02,Q
Q03,Q
Q04,3
Q05,3
Q06,3
Q07,3
Q08,3
Q09,3
Q10,3
Q11,3
Q12,3
Q13,3
Q14,3
Q15,3
Q16,3
Q17,3
Q18,3
Q19,3
Q20,3
Q21,3
Q22,3
Q23,3
Q24,3
Q25,3
Q26,3
Q27,3
Q28,3
Q29,3
R01,2
R02,2
R03,2
R04,2
R05,2
R06,2
R07,2
R08,2
R09,2
R10,2
R11,2
R12,2
R13,2
R14,2
R15,2
R16,2
R17,2
R18,2
R19,2
R20,2
R21,2
R22,2
R23,2
R24,2
R25,1
R26,1
R27,1
R28,1
R29,1
R30,1
R31,1
R32,1
R33,1
R34,1
R35,1
R36,1
R37,1
R38,2
R39,2
R40,2
R41,2
S01,7
S02,7
S03,7
S04,7
S05,7
S06,7
S07,7
S08,7
S09,7
S10,7
S11,7
S12,7
S13,7
S14,7
S15,7
S16,7
S17,7
S18,7
S19,7
S20,7
S21,0
S22,0
S23,0
S24,0
S25,0
S26,0
S27,0
S28,0
S29,0
S30,0
S31,0
T01,5
T02,5
T03,5
T04,5
T05,5
T06,5
T07,T
T08,T
T09,T
T10,T
