dc_class,dcca_eng,NTorDC,dcca_class,pls_same,pls_diff_hk,pls_diff_kln,pls_diff_nt,pls_diff_oth,plw_same,plw_diff_hk,plw_diff_kln,plw_diff_nt,plw_diff_oth
A,Central and Western - Chung Wan,A,A01,715,276,107,113,6,1869,1518,701,322,113
A,Central and Western - Mid Levels East,A,A02,1250,396,90,91,13,3174,1320,899,284,80
A,Central and Western - Castle Road,A,A03,1163,1050,146,92,30,3664,1882,1324,412,138
A,Central and Western - Peak,A,A04,604,1156,461,304,-,3025,1394,917,331,47
A,Central and Western - University,A,A05,1491,787,213,115,42,2648,1642,1201,316,108
A,Central and Western - Kwun Lung,A,A06,1400,470,244,149,9,2874,2135,1215,279,80
A,Central and Western - Kennedy Town & Mount Davis,A,A07,1287,772,160,55,47,3519,1902,1012,449,76
A,Central and Western - Sai Wan,A,A08,1334,221,178,74,43,2614,1774,1120,431,163
A,Central and Western - Belcher,A,A09,1512,918,308,107,63,3186,2242,1671,461,124
A,Central and Western - Shek Tong Tsui,A,A10,1446,259,291,142,32,2989,1782,1189,366,94
A,Central and Western - Sai Ying Pun,A,A11,1298,376,138,63,54,2744,1546,981,270,62
A,Central and Western - Sheung Wan,A,A12,1166,499,320,126,21,3224,1592,1326,280,59
A,Central and Western - Tung Wah,A,A13,682,283,110,81,41,2649,1714,809,446,140
A,Central and Western - Centre Street,A,A14,971,452,202,61,23,3095,1422,1313,437,105
A,Central and Western - Water Street,A,A15,1174,334,256,66,11,2744,1997,1238,533,207
B,Wan Chai - Hennessy,B,B01,586,548,66,42,2,1299,2016,730,398,111
B,Wan Chai - Oi Kwan,B,B02,742,216,100,50,8,1569,1721,974,390,125
B,Wan Chai - Canal Road,B,B03,921,349,199,54,8,1763,2002,782,352,106
B,Wan Chai - Causeway Bay,B,B04,631,488,101,56,-,1735,1898,852,277,78
B,Wan Chai - Victoria Park,B,B05,524,966,119,87,-,1147,2333,1034,270,90
B,Wan Chai - Tin Hau,B,B06,950,538,143,211,35,1068,2452,942,269,121
B,Wan Chai - Tai Hang,B,B07,545,505,139,137,56,1155,1797,874,285,41
B,Wan Chai - Jardine's Lookout,B,B08,464,965,162,43,10,1214,2077,815,241,21
B,Wan Chai - Broadwood,B,B09,763,822,155,48,11,882,1941,843,246,30
B,Wan Chai - Happy Valley,B,B10,735,576,216,57,-,1229,2251,812,229,213
B,Wan Chai - Stubbs Road,B,B11,584,845,192,47,15,1028,1776,814,97,44
B,Wan Chai - Southorn,B,B12,568,752,133,82,-,1891,2397,680,220,46
B,Wan Chai - Tai Fat Hau,B,B13,481,396,74,26,-,1446,2250,607,219,146
C,Eastern - Tai Koo Shing West,C,C01,1035,970,210,70,18,1291,2275,1577,450,103
C,Eastern - Tai Koo Shing East,C,C02,1115,1040,182,72,36,1223,2401,1592,517,73
C,Eastern - Lei King Wan,C,C03,1603,943,228,146,13,1986,2940,1957,594,190
C,Eastern - Sai Wan Ho,C,C04,1304,620,191,59,11,2195,2920,1566,425,249
C,Eastern - Aldrich Bay,C,C05,1604,318,249,123,11,2000,2321,1252,520,150
C,Eastern - Shaukeiwan,C,C06,892,319,132,109,-,1612,1958,1338,333,123
C,Eastern - A Kung Ngam,C,C07,1640,430,242,195,43,2160,2747,1376,567,129
C,Eastern - Heng Fa Chuen,C,C08,1201,1014,141,154,53,1536,2981,1952,506,134
C,Eastern - Tsui Wan,C,C09,701,408,128,114,75,1715,1643,983,409,27
C,Eastern - Yan Lam,C,C10,1298,858,149,122,11,1674,2589,1395,414,86
C,Eastern - Siu Sai Wan,C,C11,969,219,159,31,-,1604,1457,749,413,119
C,Eastern - King Yee,C,C12,935,271,270,216,-,1453,2358,1623,385,140
C,Eastern - Wan Tsui,C,C13,1071,253,131,84,27,2296,1772,781,427,76
C,Eastern - Fei Tsui,C,C14,1167,296,261,29,26,1639,1516,1213,415,218
C,Eastern - Mount Parker,C,C15,746,460,174,48,5,1744,1413,1168,277,96
C,Eastern - Braemar Hill,C,C16,996,1248,172,41,22,834,2460,930,164,101
C,Eastern - Fortress Hill,C,C17,1109,695,212,99,11,1144,2399,1341,427,148
C,Eastern - City Garden,C,C18,923,747,254,47,30,1299,2110,1016,432,149
C,Eastern - Provident,C,C19,1216,584,223,145,16,1661,2274,1430,426,202
C,Eastern - Fort Street,C,C20,1262,489,276,98,48,1548,2517,1006,477,53
C,Eastern - Kam Ping,C,C21,1293,636,176,118,11,1621,2392,1406,440,92
C,Eastern - Tanner,C,C22,1016,814,96,64,39,1468,2729,1332,469,268
C,Eastern - Healthy Village,C,C23,720,508,199,144,82,1434,2090,1247,485,92
C,Eastern - Quarry Bay,C,C24,882,313,112,48,12,1277,1922,970,325,87
C,Eastern - Nam Fung,C,C25,849,473,113,71,25,1276,1866,1168,496,57
C,Eastern - Kornhill,C,C26,750,875,176,104,28,1256,2222,1332,392,104
C,Eastern - Kornhill Garden,C,C27,837,513,183,125,-,1221,2070,1156,422,105
C,Eastern - Hing Tung,C,C28,1316,362,314,92,21,1867,2179,1504,484,115
C,Eastern - Lower Yiu Tung,C,C29,1361,225,194,94,18,2239,2103,1116,400,98
C,Eastern - Upper Yiu Tung,C,C30,1001,174,123,107,-,1732,1682,960,349,106
C,Eastern - Hing Man,C,C31,943,189,173,127,8,2092,1399,801,304,97
C,Eastern - Lok Hong,C,C32,956,212,200,145,2,1482,1939,1152,377,44
C,Eastern - Tsui Tak,C,C33,1016,280,215,102,-,1706,2078,1463,467,105
C,Eastern - Yue Wan,C,C34,1535,339,316,261,41,2129,1878,1241,450,93
C,Eastern - Kai Hiu,C,C35,1088,66,174,80,-,1982,1535,733,280,99
D,Southern - Aberdeen,D,D01,1571,940,184,97,9,2760,3259,1043,661,202
D,Southern - Ap Lei Chau Estate,D,D02,827,343,133,80,-,1725,1586,918,221,99
D,Southern - Ap Lei Chau North,D,D03,1021,561,93,92,13,1592,2400,1016,330,87
D,Southern - Lei Tung I,D,D04,903,386,158,13,-,1569,2067,1126,353,124
D,Southern - Lei Tung II,D,D05,486,288,108,33,9,2027,2335,898,218,55
D,Southern - South Horizons East,D,D06,675,1060,205,171,-,905,2983,1278,468,91
D,Southern - South Horizons West,D,D07,965,1171,208,110,19,1150,2616,1014,465,135
D,Southern - Wah Kwai,D,D08,684,264,91,109,-,1783,1851,743,278,103
D,Southern - Wah Fu South,D,D09,893,289,156,116,22,1568,1995,577,292,83
D,Southern - Wah Fu North,D,D10,1113,470,202,53,8,1580,2164,848,181,78
D,Southern - Pokfulam,D,D11,2021,1118,103,41,48,833,3490,886,224,99
D,Southern - Chi Fu,D,D12,564,940,122,173,25,1160,2880,1239,320,210
D,Southern - Tin Wan,D,D13,1518,648,174,88,17,2442,2545,1024,346,314
D,Southern - Shek Yue,D,D14,1188,456,178,171,20,2755,2312,802,420,67
